Car_Brand,Car_Model,Year,Car_Condition,Mileage,Price
Honda,Accord,2008,Nigerian Used,229556,3150000
Mercedes-Benz,C 230,2007,Nigerian Used,90975,3045000
Toyota,Highlander,2012,Foreign Used,143238,14560000
Chevrolet,Orlando,2011,Nigerian Used,121472,1890000
Toyota,Camry,2007,Nigerian Used,285793,4524000
Nissan,Murano,2009,Nigerian Used,137122,3150000
Toyota,Matrix,2005,Nigerian Used,24375,2940000
Toyota,Highlander,2006,Nigerian Used,361234,3150000
Lexus,RX 350,2010,Nigerian Used,134418,13520000
Toyota,Sienna,2013,Foreign Used,200438,11550000
Peugeot,206,2006,Foreign Used,284315,3885000
Toyota,Camry,2009,Nigerian Used,320039,3990000
Kia,Rio,2013,Nigerian Used,96729,2940000
Toyota,Corolla,2007,Nigerian Used,264329,4368000
Toyota,Camry,2007,Nigerian Used,212815,5200000
Mercedes-Benz,GLK 350 4MATIC,2011,Nigerian Used,330431,7350000
Hyundai,Ix35,2012,Nigerian Used,194215,5720000
Lexus,RX 350,2007,Foreign Used,173698,10400000
Nissan,Maxima,2006,Foreign Used,196535,3150000
Mercedes-Benz,E 350,2012,Foreign Used,157858,14040000
Toyota,Highlander,2005,Nigerian Used,249232,3675000
Honda,Accord,2004,Nigerian Used,239196,1664000
BMW,3 Series,2006,Nigerian Used,153958,2100000
Toyota,Highlander Hybrid,2008,Nigerian Used,257698,4725000
Volkswagen,Golf,2000,Nigerian Used,190058,3120000
Volkswagen,Jetta,2007,Nigerian Used,306213,3328000
MG,Magnett,2010,Nigerian Used,12630,7560000
Toyota,Camry,2000,Nigerian Used,476503,1872000
Land Rover,Range Rover Sport,2008,Nigerian Used,195615,4200000
Honda,Pilot,2006,Nigerian Used,330344,3120000
Chevrolet,Suburban,2010,Nigerian Used,256699,12600000
Toyota,Camry,2002,Nigerian Used,344212,2288000
Toyota,Corolla,2006,Foreign Used,226665,6240000
Toyota,Highlander,2005,Nigerian Used,233874,7800000
Lexus,ES 350,2015,Foreign Used,166928,12862500
Acura,MDX,2004,Nigerian Used,398102,1365000
Toyota,Sienna,2004,Nigerian Used,306278,4160000
Land Rover,LR3,2008,Nigerian Used,98786,2646000
Toyota,Corolla,2006,Nigerian Used,197382,3848000
Toyota,Highlander Limited,2011,Nigerian Used,67690,9880000
Honda,Odyssey,2024,Nigerian Used,330359,3675000
Land Rover,Range Rover Sport,2006,Nigerian Used,248625,3255000
Toyota,Avensis Verso,2004,Nigerian Used,341068,2625000
Volkswagen,Caddy,2013,Nigerian Used,148104,8400000
Toyota,Camry,2009,Nigerian Used,194886,3885000
Peugeot,406,2005,Nigerian Used,217931,3120000
Acura,MDX,2001,Nigerian Used,196447,1680000
Toyota,Sienna,2011,Nigerian Used,141073,9360000
Mercedes-Benz,C 63,2018,Foreign Used,18540,75600000
Mercedes-Benz,ML 350,2005,Nigerian Used,313962,4108000
Toyota,Corolla,2009,Nigerian Used,107063,4515000
Toyota,Corolla,2007,Nigerian Used,285993,4316000
Infiniti,QX56,2006,Nigerian Used,198673,4074000
Toyota,Corolla,2004,Nigerian Used,192302,3120000
Toyota,Camry,2008,Foreign Used,338031,6760000
Toyota,Corolla,2008,Nigerian Used,125697,2940000
Mercedes-Benz,GLE 53 AMG,2023,Nigerian Used,2438,147000000
Honda,Civic,2009,Nigerian Used,175231,2940000
Acura,MDX,2011,Nigerian Used,73829,8400000
BMW,X6,2009,Nigerian Used,143863,9450000
Toyota,Highlander,2005,Nigerian Used,386286,4368000
Mercedes-Benz,ML 350,2013,Nigerian Used,163039,20800000
Kia,Sedona,2002,Nigerian Used,119843,2730000
Hyundai,Ix35,2011,Nigerian Used,114291,6825000
Toyota,Sienna,2010,Foreign Used,287878,8840000
Toyota,Sienna,2008,Nigerian Used,237429,4992000
Toyota,Corolla,2010,Nigerian Used,229735,3990000
Toyota,Camry,2007,Nigerian Used,200834,3885000
Toyota,Corolla,2013,Nigerian Used,104588,6656000
Toyota,Camry,2003,Nigerian Used,664485,2704000
Honda,Accord,2010,Nigerian Used,159507,3640000
Hyundai,Tucson,2015,Foreign Used,113992,14700000
Mercedes-Benz,GL 550 4MATIC,2008,Nigerian Used,180619,8320000
Mercedes-Benz,C 300,2008,Nigerian Used,177004,5720000
Infiniti,FX35,2005,Nigerian Used,213054,4725000
Hyundai,Santa Fe,2007,Nigerian Used,156744,2310000
Toyota,Highlander,2008,Nigerian Used,174730,7280000
Mercedes-Benz,GLK 350 AMG,2013,Nigerian Used,134185,13000000
Toyota,Camry,2009,Foreign Used,158231,7280000
Kia,Cerato,2013,Nigerian Used,163160,3202500
Land Rover,Range Rover Sport,2011,Nigerian Used,139146,5512500
Toyota,Highlander,2012,Nigerian Used,187673,9360000
Honda,Pilot,2005,Nigerian Used,306202,3328000
Lexus,ES 350,2010,Foreign Used,175231,8400000
Toyota,Camry,2010,Nigerian Used,190823,3780000
Mercedes-Benz,GLK 350,2013,Foreign Used,155115,15225000
Honda,Accord,2005,Nigerian Used,356556,1508325
Hyundai,Accent,2009,Nigerian Used,148622,2100000
Mazda,3,2009,Nigerian Used,214252,3150000
Toyota,Sienna,2005,Nigerian Used,250982,4680000
Toyota,Highlander,2008,Foreign Used,104780,7875000
Ford,E-250,2003,Nigerian Used,256132,2310000
Toyota,Sienna,2011,Nigerian Used,78802,9880000
Toyota,Highlander,2009,Nigerian Used,234195,7800000
Infiniti,QX4,2002,Nigerian Used,182045,1785000
Sinotruk,Howo,2022,Foreign Used,3692,52500000
Toyota,Corolla,2008,Nigerian Used,300261,3528000
Lexus,RX 350,2010,Nigerian Used,164778,15600000
Lexus,RX 330,2006,Nigerian Used,301044,4851000
Ford,Explorer,2006,Nigerian Used,333366,2625000
Toyota,Sienna,2006,Nigerian Used,209942,4680000
Toyota,Matrix,2003,Nigerian Used,388520,2625000
Honda,Odyssey,2005,Nigerian Used,418936,2625000
Toyota,Sienna,2004,Nigerian Used,326433,2730000
Mitsubishi,Pajero,2010,Nigerian Used,183161,5250000
Toyota,Camry,2007,Foreign Used,231091,6864000
Mitsubishi,Lancer,2012,Nigerian Used,109905,1155000
Peugeot,307,2008,Nigerian Used,126180,1890000
Mercedes-Benz,GL 450,2012,Nigerian Used,243074,8925000
Toyota,Matrix,2006,Nigerian Used,299999,2625000
Kia,Optima,2007,Nigerian Used,200915,2625000
Hyundai,Sonata,2009,Nigerian Used,138357,2751000
Lexus,GS 350,2007,Foreign Used,179227,8320000
Acura,MDX,2008,Nigerian Used,459601,4888000
Toyota,Camry,2009,Nigerian Used,198662,3150000
Toyota,Camry,2004,Nigerian Used,126057,3640000
Lexus,GX 470,2014,Nigerian Used,145325,31720000
Mercedes-Benz,C 300,2016,Foreign Used,235137,15750000
Land Rover,Range Rover Sport,2013,Nigerian Used,132849,16800000
Honda,Civic,2012,Foreign Used,133900,6720000
Toyota,Corolla,2004,Foreign Used,235314,5200000
Volkswagen,Routan,2011,Foreign Used,315536,6510000
Nissan,Maxima,2001,Nigerian Used,108278,2100000
Toyota,Matrix,2003,Nigerian Used,209989,2625000
BMW,3 Series,2006,Nigerian Used,164124,3097500
Hyundai,Sonata,2012,Foreign Used,3677,7800000
Acura,MDX,2007,Nigerian Used,294510,7280000
Kia,Sportage,2011,Nigerian Used,100943,5250000
Ford,F-150,2005,Nigerian Used,291506,4725000
Toyota,Corolla,2010,Foreign Used,102379,8008000
Toyota,Camry,2017,Nigerian Used,120143,11440000
Lexus,RX 330,2004,Nigerian Used,152347,7800000
Toyota,Corolla,2007,Nigerian Used,407084,1785000
Toyota,Highlander,2018,Foreign Used,147993,27300000
Toyota,Camry,2003,Nigerian Used,176710,1942500
Volkswagen,Touareg,2003,Nigerian Used,186048,5775000
Hyundai,Santa Fe,2002,Nigerian Used,180571,2100000
Mercedes-Benz,GLK 350,2010,Nigerian Used,180267,8925000
BMW,535i,2010,Nigerian Used,164025,8400000
Toyota,Highlander,2008,Nigerian Used,144182,7800000
Nissan,Altima,2010,Foreign Used,202075,3885000
Toyota,Highlander,2013,Nigerian Used,113847,9765000
Mitsubishi,Montero,2003,Nigerian Used,218457,2415000
Toyota,Matrix,2007,Nigerian Used,270516,3796000
Ford,Explorer,2002,Nigerian Used,228996,3045000
Toyota,Highlander Limited,2006,Nigerian Used,117702,4189500
Ford,F-150,2014,Nigerian Used,167845,15750000
Honda,Accord,2012,Nigerian Used,191234,4680000
Chevrolet,Blazer,2019,Foreign Used,25300,57750000
Toyota,Venza XLE,2013,Nigerian Used,69631,12480000
Nissan,Frontier,2008,Nigerian Used,281689,3360000
Toyota,RAV4,2013,Nigerian Used,130905,13728000
Honda,Odyssey,2012,Nigerian Used,178261,4830000
Porsche,Cayenne,2005,Foreign Used,314846,15225000
Toyota,Highlander,2008,Nigerian Used,173010,6825000
Toyota,4-Runner,2015,Nigerian Used,112080,17850000
Toyota,Highlander Limited,2008,Nigerian Used,164620,8320000
Honda,Accord,2008,Nigerian Used,188716,2940000
Lexus,GS 350,2009,Nigerian Used,138261,5775000
Mazda,MPV,2000,Nigerian Used,248903,2100000
Mercedes-Benz,E 350,2011,Nigerian Used,87900,10400000
Mercedes-Benz,GLC 300,2017,Foreign Used,86848,26250000
Mazda,626,2008,Nigerian Used,215925,1680000
Toyota,Avensis,2006,Nigerian Used,267647,2007600
Nissan,X-Trail,2015,Nigerian Used,126423,11550000
Toyota,4-Runner,2004,Nigerian Used,219080,3024000
BMW,X5,2007,Nigerian Used,81907,5250000
Mercedes-Benz,C 200,2000,Nigerian Used,191492,3570000
Nissan,X-Trail,2012,Nigerian Used,213021,2625000
Toyota,Highlander,2005,Nigerian Used,116893,3837750
Honda,Accord,2006,Nigerian Used,305624,1764000
Honda,Accord,2007,Nigerian Used,99874,3120000
Toyota,Sienna,2006,Nigerian Used,274775,4160000
Toyota,Camry,2002,Nigerian Used,260203,3120000
Hyundai,Entourage,2007,Nigerian Used,178455,4200000
Chevrolet,Cruze,2010,Nigerian Used,189543,2415000
Peugeot,406,2004,Foreign Used,95291,6300000
Ford,Edge,2008,Nigerian Used,284451,2856000
Toyota,Camry,2007,Nigerian Used,226850,3990000
Toyota,Camry,2023,Foreign Used,1651,57750000
Toyota,RAV4,2005,Nigerian Used,265830,2912000
Honda,Accord,2006,Nigerian Used,198526,1785000
Volkswagen,Jetta,2017,Foreign Used,112142,10500000
Toyota,Corolla,2008,Nigerian Used,643563,4725000
Toyota,Camry,2007,Nigerian Used,270060,3570000
Toyota,Sienna,2002,Nigerian Used,174468,4160000
Toyota,Hilux,2014,Foreign Used,176362,16275000
Nissan,Sentra,2014,Foreign Used,141926,5250000
Mercedes-Benz,S 550,2012,Foreign Used,116815,23100000
Honda,Accord,2002,Nigerian Used,198993,1260000
Toyota,Sienna,2005,Nigerian Used,194730,3744000
Honda,CR-V,2003,Nigerian Used,292380,2600000
Toyota,Camry,2007,Nigerian Used,189334,4368000
Ford,Escape,2008,Nigerian Used,325764,4160000
Volvo,S60,2007,Nigerian Used,161339,2625000
Mercedes-Benz,GL 450,2012,Nigerian Used,154955,6300000
Mercedes-Benz,GLK 350,2013,Foreign Used,116825,19760000
Toyota,Sienna,2005,Nigerian Used,278945,3192000
Lexus,RX 350,2010,Nigerian Used,232329,15600000
Toyota,Camry,2008,Nigerian Used,127391,4200000
Mercedes-Benz,C 300,2015,Foreign Used,175525,14700000
Land Rover,LR3,2013,Nigerian Used,152129,12600000
Toyota,RAV4,2012,Nigerian Used,76584,9464000
Mercedes-Benz,C 230,2007,Nigerian Used,22096,2260125
Lexus,ES 330,2004,Nigerian Used,407266,4160000
Lexus,GX 450,2010,Nigerian Used,65524,15618750
Ford,Edge,2008,Nigerian Used,329613,3744000
Volvo,XC90,2004,Nigerian Used,157201,2940000
Lexus,RX 350,2011,Foreign Used,112595,15225000
Mercedes-Benz,S 500,2004,Nigerian Used,115485,3150000
Toyota,Corolla,2004,Nigerian Used,435442,2310000
Hyundai,Santa Fe,2005,Nigerian Used,227686,2940000
Toyota,Highlander,2017,Foreign Used,98156,29120000
Lexus,RX 350,2008,Nigerian Used,277533,10088000
Mercedes-Benz,GLE 350,2017,Foreign Used,97674,31500000
Land Rover,LR3,2007,Nigerian Used,110605,5250000
Ford,F-150,2013,Nigerian Used,387035,11550000
BMW,320i,2006,Nigerian Used,254218,3150000
Mercedes-Benz,E 320,2005,Nigerian Used,246822,2835000
Toyota,Corolla,2005,Nigerian Used,299999,3536000
Land Rover,LR2,2009,Foreign Used,267672,8925000
Toyota,Highlander,2014,Foreign Used,251499,22880000
Mercedes-Benz,C 300,2008,Nigerian Used,133417,6760000
Acura,MDX,2006,Nigerian Used,114519,2808000
Toyota,Camry,2009,Nigerian Used,111690,4200000
Land Rover,Range Rover Evoque,2013,Nigerian Used,60519,7350000
Toyota,Highlander,2006,Nigerian Used,253367,4680000
Toyota,Camry,2006,Nigerian Used,147501,3432000
Land Rover,Range Rover,2011,Foreign Used,143992,9450000
Lexus,RX 300,2002,Nigerian Used,549283,3328000
Toyota,Yaris,2008,Nigerian Used,178949,2373000
Toyota,Highlander,2005,Nigerian Used,372637,4200000
Lexus,ES 350,2009,Foreign Used,173422,7350000
Toyota,Camry,2007,Nigerian Used,301345,4576000
Toyota,Corolla,2003,Nigerian Used,157797,3120000
Mitsubishi,Grandis,2008,Nigerian Used,415951,3150000
Lexus,RX 300,2003,Nigerian Used,331733,4368000
Mercedes-Benz,E 320,2005,Foreign Used,184057,4305000
Honda,Pilot,2009,Nigerian Used,165047,3832500
Toyota,Corolla,2011,Nigerian Used,145992,4620000
Toyota,Camry,2015,Foreign Used,373077,13520000
Volkswagen,Passat,2008,Nigerian Used,217193,1764000
Lexus,ES 350,2010,Foreign Used,156414,8190000
Ford,Edge SE,2008,Nigerian Used,349226,3640000
Toyota,Camry,2011,Nigerian Used,126263,3990000
Mercedes-Benz,ML 350 4MATIC,2012,Nigerian Used,180061,20800000
Toyota,Highlander,2008,Nigerian Used,162286,6195000
Mercedes-Benz,CLA 250,2015,Nigerian Used,87703,13520000
Nissan,Frontier,2005,Nigerian Used,372376,3465000
Hyundai,Sonata,2013,Nigerian Used,146881,4200000
Chrysler,300,2009,Nigerian Used,275175,3675000
Mercedes-Benz,GLE 350 ,2016,Foreign Used,138219,39520000
Hyundai,Elantra,2012,Nigerian Used,118799,3675000
Honda,Pilot,2006,Nigerian Used,279763,2808000
Toyota,Sienna,2004,Nigerian Used,162485,4680000
Nissan,Frontier,2006,Nigerian Used,188568,3150000
Toyota,RAV4,2018,Nigerian Used,51972,16800000
Lexus,RX 350,2008,Foreign Used,201721,9400000
Ford,Explorer,2012,Foreign Used,361517,8400000
Honda,CR-V,2003,Nigerian Used,216969,2288000
Lexus,GX 470,2005,Nigerian Used,170530,5092500
Toyota,Camry,2003,Nigerian Used,17844,3120000
Lexus,ES 330,2004,Nigerian Used,163140,4160000
Toyota,RAV4,2009,Nigerian Used,137421,4725000
Lexus,IS 250,2007,Nigerian Used,258163,4935000
Honda,Accord,2008,Nigerian Used,173635,3952000
Lexus,GX 470,2007,Nigerian Used,133407,5823562
Hyundai,Sonata,2014,Nigerian Used,130084,6930000
Honda,CR-V,2007,Nigerian Used,229167,4680000
Toyota,Camry,2019,Foreign Used,72970,21000000
Mercedes-Benz,GL 450,2008,Nigerian Used,175775,6240000
Toyota,Corolla,2006,Nigerian Used,194578,4680000
Land Rover,Range Rover Velar,2018,Foreign Used,51034,64480000
Toyota,Corolla,2009,Nigerian Used,150348,5304000
Peugeot,307,2004,Foreign Used,216307,4620000
Lexus,GX 470,2006,Nigerian Used,85203,4410000
Toyota,Avensis,2006,Nigerian Used,714042,2142000
Toyota,Matrix,2004,Nigerian Used,344390,3120000
Lexus,GX 470,2003,Nigerian Used,167368,6240000
Toyota,RAV4,2003,Nigerian Used,240794,2625000
Honda,Accord,2008,Nigerian Used,327256,2520000
Toyota,Camry,2013,Nigerian Used,243237,8008000
Ford,Escape,2010,Nigerian Used,219999,3150000
Toyota,Camry,2011,Nigerian Used,243237,4620000
Honda,Accord,2003,Nigerian Used,204158,1365000
Toyota,RAV4,2007,Nigerian Used,111333,4992000
Toyota,Highlander,2002,Nigerian Used,278394,3640000
Toyota,Sienna LE,2006,Nigerian Used,233230,3675000
Peugeot,607,2004,Nigerian Used,214552,1365000
Toyota,RAV4,2002,Nigerian Used,104317,4160000
Infiniti,QX56,2011,Nigerian Used,234923,15750000
Toyota,Corolla,2020,Foreign Used,57369,22880000
Toyota,Camry,2003,Nigerian Used,151736,3120000
Honda,Pilot,2007,Nigerian Used,353385,2600000
Toyota,Camry,2006,Nigerian Used,259269,2912000
Pontiac,Vibe,2005,Nigerian Used,447494,2604000
Ford,Fusion,2015,Nigerian Used,75681,6825000
Land Rover,LR3,2007,Nigerian Used,237263,3150000
Toyota,Camry,2007,Nigerian Used,166004,4420000
Ford,Edge,2013,Nigerian Used,171246,4417875
Subaru,Outback,2011,Nigerian Used,107380,5250000
Jaguar,X-Type,2004,Nigerian Used,229615,2940000
Lexus,RX 350,2007,Nigerian Used,185196,6448000
Toyota,Tacoma,2016,Nigerian Used,151046,27300000
Mercedes-Benz,C 350,2011,Nigerian Used,113693,6240000
Toyota,Camry,2000,Nigerian Used,173097,1207500
Nissan,Xterra,2002,Nigerian Used,384955,3120000
Lexus,ES 350,2019,Nigerian Used,236795,38850000
Hyundai,Sonata,2011,Foreign Used,97020,6510000
Peugeot,607,2009,Nigerian Used,7866,3150000
Toyota,Avalon,2009,Nigerian Used,190851,2352000
Renault,Duster,2005,Nigerian Used,99623,11025000
Land Rover,Range Rover,2011,Foreign Used,142378,21000000
Honda,Pilot,2004,Nigerian Used,153461,1785000
Toyota,Sienna,2008,Nigerian Used,179348,3255000
Peugeot,307,2008,Foreign Used,277664,2310000
Mercedes-Benz,C 300,2009,Nigerian Used,185165,4878403
Toyota,Land Cruiser,2008,Nigerian Used,280006,7350000
Toyota,Sienna,2006,Nigerian Used,158270,4368000
Pontiac,Vibe,2006,Nigerian Used,228237,2940000
Lexus,GX 470,2005,Nigerian Used,141557,5040000
BMW,X5,2010,Nigerian Used,167377,3638250
Lexus,ES 350,2009,Foreign Used,99823,10920000
Opel,Zafira,2001,Nigerian Used,192761,2415000
Toyota,Sienna XLE,2007,Nigerian Used,213755,4160000
Acura,TSX,2006,Nigerian Used,328401,2467500
Mercedes-Benz,ML 350,2008,Nigerian Used,119704,4533900
Honda,Accord,2007,Foreign Used,303260,4160000
Hyundai,Ix35,2010,Nigerian Used,77205,3885000
Dodge,Challenger,2017,Foreign Used,146849,24675000
Acura,TL,2000,Nigerian Used,235959,1417500
Toyota,Camry,2007,Nigerian Used,341756,3622500
Dodge,Avenger,2008,Nigerian Used,288932,2625000
Mercedes-Benz,GLA 250,2019,Nigerian Used,61481,31500000
Volkswagen,Comfort Coupe,2014,Foreign Used,126952,8400000
Toyota,Camry,2007,Nigerian Used,308570,4160000
Mercedes-Benz,ML 350,2014,Nigerian Used,165378,20800000
Acura,TL,2010,Nigerian Used,163924,4515000
Toyota,Avalon,2013,Foreign Used,214948,14700000
Lexus,ES 300,2003,Nigerian Used,132269,2520000
Nissan,Sentra,2007,Nigerian Used,185056,2100000
Ford,Freestar,2004,Nigerian Used,183555,2100000
Mercedes-Benz,ML 350,2006,Nigerian Used,181517,5200000
Lexus,GX 460,2016,Nigerian Used,114369,17640000
Honda,Accord,2009,Nigerian Used,97113,3952000
Nissan,Altima,2013,Nigerian Used,229479,3675000
Honda,Accord,2016,Nigerian Used,199020,7875000
Lexus,IS 250,2008,Nigerian Used,272421,6240000
Lexus,RX 300,2000,Nigerian Used,290538,2730000
Toyota,Corolla,2014,Foreign Used,126392,10400000
Infiniti,G35,2011,Nigerian Used,178682,3465000
Honda,Pilot,2003,Nigerian Used,514229,1806000
Honda,Accord,2008,Nigerian Used,481706,3120000
Mercedes-Benz,Sprinter,2002,Foreign Used,193210,7875000
Toyota,Corolla,2007,Nigerian Used,124814,3640000
Dodge,Charger,2019,Foreign Used,76192,24150000
Opel,Zafira,2006,Nigerian Used,210065,1680000
Honda,CR-V,2007,Nigerian Used,210146,3360000
Toyota,Corolla,2003,Nigerian Used,181464,3120000
Kia,Sorento,2011,Nigerian Used,122572,6300000
Toyota,Sienna,2000,Nigerian Used,189239,1575000
Toyota,Solara,2003,Nigerian Used,254952,2100000
Acura,RDX,2009,Nigerian Used,114177,3885000
Land Rover,Rover Discovery,2020,Nigerian Used,55479,57750000
Mercedes-Benz,GLK 350,2012,Nigerian Used,127823,8400000
Toyota,4-Runner,2004,Nigerian Used,237337,4160000
Peugeot,307,2005,Nigerian Used,210070,2100000
Nissan,Versa,2012,Nigerian Used,148639,3360000
Toyota,Corolla,2012,Nigerian Used,99090,8320000
Toyota,Camry,2004,Nigerian Used,141001,2808000
Volkswagen,Comfort Coupe,2013,Nigerian Used,116257,5250000
Toyota,Highlander,2003,Nigerian Used,132078,3150000
Toyota,Sienna,2017,Nigerian Used,61636,18060000
Honda,Pilot,2005,Nigerian Used,341070,2288000
Acura,MDX,2006,Nigerian Used,173764,2600000
Ford,Explorer,2006,Nigerian Used,189328,3150000
Mercedes-Benz,E 350,2011,Foreign Used,210060,9030000
Honda,Civic,2008,Nigerian Used,325895,2808000
Toyota,Camry,2003,Nigerian Used,318443,2205000
Kia,Optima,2007,Nigerian Used,140973,2835000
Toyota,Camry,2016,Nigerian Used,187869,8400000
Mercedes-Benz,S 63 AMG,2007,Nigerian Used,294958,6090000
Mercedes-Benz,C 300,2016,Foreign Used,211504,24960000
Kia,Rio,2009,Nigerian Used,191784,1995000
Pontiac,Vibe,2003,Nigerian Used,281242,3465000
Kia,Mohave,2009,Nigerian Used,171664,3150000
Ford,Mustang,2012,Foreign Used,288334,8925000
Ford,Explorer,2002,Nigerian Used,275278,1575000
Volvo,S40,2004,Nigerian Used,164268,1260000
Mercedes-Benz,C 250,2012,Foreign Used,233748,7140000
Ford,Edge,2007,Nigerian Used,257529,3120000
Mercedes-Benz,C 230,2004,Nigerian Used,202477,1680000
Honda,Pilot,2004,Nigerian Used,211787,2080000
Toyota,Corolla,2004,Nigerian Used,117087,4095000
Toyota,Camry,2011,Foreign Used,113874,7800000
Toyota,Highlander,2008,Nigerian Used,86284,8320000
Toyota,Avalon,2016,Nigerian Used,17709,14175000
Toyota,Avensis,2005,Nigerian Used,359814,2912000
Toyota,Avensis Verso,2007,Nigerian Used,239918,2835000
Toyota,Venza,2012,Nigerian Used,206069,11960000
Nissan,Xterra,2002,Nigerian Used,302948,2080000
Toyota,Corolla,2011,Nigerian Used,185423,4725000
Toyota,Sienna,2008,Foreign Used,135244,7140000
Toyota,Avalon,2006,Nigerian Used,339364,2989875
Mazda,CX-7,2007,Nigerian Used,183356,2811375
Volkswagen,Passat,2007,Nigerian Used,198596,2730000
Toyota,Sienna,2007,Foreign Used,316236,7800000
Acura,TL,2006,Nigerian Used,214212,2100000
Mercedes-Benz,E 63,2014,Nigerian Used,52559,9331875
Nissan,Frontier,2006,Nigerian Used,11949,5096000
Toyota,Highlander,2011,Foreign Used,325862,13000000
Honda,Accord,2004,Nigerian Used,252440,1768000
Honda,Pilot,2004,Nigerian Used,255941,2100000
Toyota,Camry,2002,Nigerian Used,335156,2288000
Toyota,Highlander,2007,Nigerian Used,407373,4524000
Mazda,626,2000,Nigerian Used,526021,1155000
Toyota,Avalon,2013,Foreign Used,144018,12495000
Nissan,Altima,2003,Nigerian Used,202492,1260000
Mercedes-Benz,C 240,2004,Nigerian Used,5842,2205000
Acura,RDX,2017,Foreign Used,85319,25200000
Lexus,ES 330,2005,Foreign Used,110577,5985000
Toyota,Camry,2000,Nigerian Used,293620,1560000
Toyota,Camry,2000,Nigerian Used,409166,1560000
Toyota,Camry,2006,Nigerian Used,314608,2436000
Peugeot,508,2012,Nigerian Used,388449,5670000
Toyota,Highlander,2002,Nigerian Used,102966,2625000
Toyota,Corolla,2007,Nigerian Used,208563,3848000
Ford,F-150,2003,Nigerian Used,341188,4725000
Honda,Crosstour,2011,Nigerian Used,162575,4888000
Toyota,Camry,2011,Nigerian Used,312142,3675000
Ford,Edge,2021,Nigerian Used,12766,25200000
Toyota,Camry,2003,Nigerian Used,204785,2600000
Toyota,Camry,2004,Nigerian Used,437314,3120000
Ford,Escape,2014,Nigerian Used,160793,4410000
Nissan,Rogue,2011,Nigerian Used,147129,3150000
Toyota,Highlander,2008,Nigerian Used,112927,5670000
Ford,Escape,2008,Nigerian Used,265228,2310000
Toyota,4-Runner,2005,Nigerian Used,400851,3952000
Land Rover,Range Rover Sport,2015,Foreign Used,131574,32550000
Toyota,Camry,2009,Nigerian Used,270957,3465000
Toyota,Sienna,2007,Nigerian Used,213915,2520000
Nissan,Altima,2012,Foreign Used,282165,2625000
Mitsubishi,Spacestar,2002,Foreign Used,178750,3675000
Toyota,Highlander,2006,Nigerian Used,192790,4680000
Honda,Accord,2008,Nigerian Used,171603,2912000
Toyota,Sienna,2012,Nigerian Used,147460,6300000
Honda,Odyssey,2007,Nigerian Used,214071,2142000
Acura,MDX,2008,Nigerian Used,139275,3675000
Hyundai,Palisade,2020,Nigerian Used,6295,36750000
Acura,MDX,2005,Nigerian Used,422478,2310000
Toyota,Corolla,2008,Nigerian Used,291808,3528000
Lexus,RX 350,2010,Foreign Used,151520,15750000
Opel,Zafira,2006,Foreign Used,239445,2415000
Acura,MDX,2008,Nigerian Used,133058,5200000
Peugeot,407,2005,Nigerian Used,99999,3150000
Acura,MDX,2001,Nigerian Used,212775,2100000
Lexus,RX 350,2010,Foreign Used,175526,13860000
Peugeot,307,2008,Nigerian Used,258914,1575000
Mercedes-Benz,G 55 AMG,2003,Nigerian Used,234812,15456000
Lexus,RX 330,2006,Nigerian Used,465883,5250000
Nissan,Altima,2008,Nigerian Used,327349,1764000
Honda,Pilot,2006,Nigerian Used,167019,3848000
Nissan,Sentra,2012,Nigerian Used,149051,3675000
Peugeot,406,2005,Nigerian Used,999999,1995000
Ford,Edge,2008,Nigerian Used,177215,2813580
Honda,CR-V,2016,Nigerian Used,73822,10500000
Toyota,Corolla,2010,Foreign Used,297145,7384000
Kia,Sorento,2018,Nigerian Used,47979,10500000
Acura,MDX,2013,Nigerian Used,46314,6300000
Chevrolet,Malibu,2009,Nigerian Used,110323,2625000
Toyota,Sienna,2007,Nigerian Used,302153,3675000
Lexus,GX 460,2010,Foreign Used,55625,29120000
Mercedes-Benz,C 250,2012,Nigerian Used,29855,9765000
Toyota,RAV4,2002,Nigerian Used,201144,2444000
Toyota,Camry,2007,Nigerian Used,119219,3255000
Toyota,Camry,2005,Nigerian Used,313692,3120000
Honda,Odyssey,2007,Foreign Used,369807,4515000
Toyota,Estima,2001,Foreign Used,93637,3675000
Toyota,Camry,2005,Nigerian Used,243715,3640000
Toyota,Camry,2011,Foreign Used,416961,7280000
Toyota,Camry,2003,Nigerian Used,425602,2600000
Toyota,Venza,2013,Foreign Used,178227,15496000
Toyota,Highlander,2006,Nigerian Used,334742,3465000
Lexus,GS 350,2008,Nigerian Used,303882,5720000
Nissan,Murano,2009,Nigerian Used,97691,4200000
Toyota,Camry,2013,Foreign Used,352023,8925000
Toyota,Camry,2010,Nigerian Used,244194,4016250
Nissan,Murano,2012,Nigerian Used,189686,5460000
Mercedes-Benz,GLC 250 4MATIC,2017,Foreign Used,184285,52000000
Peugeot,307,2008,Nigerian Used,460388,2704000
Ford,Edge,2007,Foreign Used,158234,3465000
Lexus,ES 330,2002,Nigerian Used,285345,2604000
Hyundai,Sonata,2011,Foreign Used,155739,5250000
Hyundai,Santa Fe,2016,Foreign Used,174132,17680000
Toyota,Venza,2009,Nigerian Used,86647,8320000
Peugeot,206,2004,Nigerian Used,999999,997500
Kia,Rio,2012,Nigerian Used,157922,2100000
