Car_Brand,Car_Model,Year,Car_Condition,Mileage,Price
Chevrolet,Lacetti,2009,Nigerian Used,145456,3675000
Toyota,Corolla,2008,Nigerian Used,338164,8437500
Mercedes-Benz,ML 350 4MATIC,2006,Nigerian Used,113984,3885000
Lexus,ES 300,2000,Nigerian Used,117927,2100000
Toyota,Sienna,2002,Nigerian Used,180657,2475000
BMW,5 Series,2006,Nigerian Used,222899,2625000
Toyota,RAV4,2012,Nigerian Used,117706,7800000
Ford,Focus,2012,Foreign Used,142569,6552000
Lexus,IS 250,2002,Nigerian Used,155054,3375000
Honda,Civic,2008,Nigerian Used,277121,2362500
Toyota,Avalon,2009,Nigerian Used,204981,2730000
Toyota,Camry,2003,Nigerian Used,202096,3744000
Toyota,Corolla,2009,Nigerian Used,301237,2520000
Honda,Civic,2007,Nigerian Used,117469,2700000
Ford,Expedition,2006,Nigerian Used,259734,4725000
Toyota,4-Runner,2005,Nigerian Used,199803,3420000
Honda,Accord,2008,Nigerian Used,458687,2771998
Volkswagen,Jetta,2010,Nigerian Used,236226,2475000
Toyota,RAV4,2013,Foreign Used,115623,17680000
Volkswagen,Passat,2016,Foreign Used,150912,10500000
Mercedes-Benz,ML 350,2004,Nigerian Used,151524,2478000
Toyota,Sienna,2011,Nigerian Used,190661,20250000
Mercedes-Benz,E 350,2013,Nigerian Used,113827,11960000
Toyota,Yaris,2004,Foreign Used,98483,2940000
Ford,Explorer,2013,Foreign Used,195514,11156250
Toyota,Sienna,2007,Nigerian Used,215083,4368000
Honda,Accord,2015,Foreign Used,105960,14062500
Genesis,G80,2017,Foreign Used,103185,16875000
Toyota,Camry,2010,Nigerian Used,127050,6187500
Honda,Accord,2015,Nigerian Used,67450,8505000
Lexus,GX 460,2011,Nigerian Used,129460,22500000
Toyota,Highlander,2003,Nigerian Used,189408,3952000
Toyota,Camry,2005,Nigerian Used,178055,2100000
Toyota,Solara,2008,Nigerian Used,185481,2625000
Toyota,Highlander,2002,Nigerian Used,446287,3108000
Nissan,Altima,2005,Nigerian Used,294364,1680000
Toyota,RAV4,2016,Nigerian Used,152850,26000000
Toyota,Camry,2003,Nigerian Used,426812,3640000
Volkswagen,Golf,2005,Foreign Used,268122,3937500
Toyota,RAV4,2006,Nigerian Used,167672,7312500
